Order,openTime,Type,Size,Symbol,openPrice,S/L,T/P,closeTime,closePrice,Commission,Taxes,Swap,Profit
1,"Wednesday, February 12, 2020",sell,0.0412,usd/mxn,18.63191,19.256,18,"Wednesday, February 12, 2020",20.124,0,0,0,-0.26
2,"Wednesday, February 12, 2020",buy,0.103,usd/zar,14.87231,14.7,15,"Wednesday, February 12, 2020",15.1575,0,0,0,0.02
3,"Thursday, February 13, 2020",buy,0.013,gbp/usd,1.30371,1.30261,1.30461,"Thursday, February 13, 2020",1.304,0,0,0,0
4,"Thursday, February 13, 2020",buy,0.0081,usd/mxn,18.6294,18.61953,18.64,"Thursday, February 13, 2020",18.635,0,0,0,0
5,"Thursday, February 13, 2020",sell,0.0202,usd/mxn,18.6175,18.65,18.55,"Thursday, February 13, 2020",8.0781,0,0,0,-0.03
6,"Thursday, February 13, 2020",sell,0.017,gbp/usd,1.30261,1.35,1.25,"Thursday, February 13, 2020",1.0075,0,0,0,-0.22
7,"Sunday, February 16, 2020",sell,0.0649,usd/mxn,18.53401,18.9,18.3,"Sunday, February 16, 2020",8.0792,0,0,0,-0.03
8,"Sunday, February 16, 2020",buy,0.0173,usd/mxn,18.5514,18.3,18.9,"Sunday, February 16, 2020",18.691,0,0,0,0
9,"Sunday, February 16, 2020",sell,0.007,nzd/usd,0.64321,0.66321,0.62321,"Sunday, February 16, 2020",0.64,0,0,0,0
10,"Monday, February 17, 2020",sell,0.0305,usd/zar,15,15.1,14.9,"Monday, February 17, 2020",14.977,0,0,0,1.28
11,"Tuesday, February 18, 2020",buy,0.0164,usd/mxn,18.63389,18.45,18.88,"Tuesday, February 18, 2020",18.177,0,0,0,-0.54
12,"Tuesday, February 18, 2020",buy,0.0477,usd/mxn,18.59075,18.4,18.8,"Tuesday, February 18, 2020",18.511,0,0,0,0
13,"Thursday, February 20, 2020",buy,0.03,eur/usd,1.07895,0.77895,1.37895,"Thursday, February 20, 2020",0.7103,0,0,0,-0.42
14,"Thursday, February 20, 2020",buy,0.0072,usd/cnh,7.0389,6.9789,7.107,"Thursday, February 20, 2020",7.099,0,0,0,0
15,"Thursday, February 20, 2020",sell,0.0106,usd/dkk,6.9157,6.94576,6.88576,"Thursday, February 20, 2020",6.888,0,0,0,0
16,"Thursday, February 20, 2020",sell,0.005,eur/usd,1.08105,1.09105,1.07105,"Thursday, February 20, 2020",1.089,0,0,0,0
17,"Thursday, February 20, 2020",sell,0.0098,usd/cnh,7.03594,7.06094,7.01094,"Thursday, February 20, 2020",7.048,0,0,0,0
18,"Thursday, February 20, 2020",sell,0.0054,usd/jpy,112.106,113.106,110.106,"Thursday, February 20, 2020",110.845,0,0,0,0
19,"Thursday, February 20, 2020",sell,0.0471,usd/mxn,18.80002,19,18.76,"Thursday, February 20, 2020",18.806,0,0,0,5.56
20,"Friday, February 21, 2020",sell,0.0165,usd/mxn,18.90001,20.05,18.85,"Friday, February 21, 2020",19.499,0,0,0,1.76
21,"Friday, February 21, 2020",buy,0.0108,usd/dkk,6.88574,6.8,6.96,"Friday, February 21, 2020",7.0766,0,0,0,0.43
22,"Friday, February 21, 2020",sell,0.0001,usd/mxn,18.85935,19.2,18.55,"Friday, February 21, 2020",18.553,0,0,0,0
23,"Friday, February 21, 2020",sell,0.6568,usd/mxn,18.8625,19.05,18.55,"Friday, February 21, 2020",18.844,0,0,0,0
24,"Sunday, February 23, 2020",sell,0.1924,usd/cnh,7.04871,7.14868,6.94868,"Sunday, February 23, 2020",1.0075,0,0,0,0.74
25,"Sunday, February 23, 2020",buy,1.3929,usd/mxn,19.05006,19,20.25,"Sunday, February 23, 2020",19.001,0,0,0,-68.94
26,"Monday, February 24, 2020",buy,0.0001,usd/mxn,19.20001,19.11,20.45,"Monday, February 24, 2020",19.0824,0,0,0,-0.02
27,"Tuesday, February 25, 2020",buy,0.0073,usd/jpy,110.106,100,121,"Tuesday, February 25, 2020",124.331,0,0,0,1.75
