order,opentime,type,size,symbol,openprice,s/l,t/p,closetime,closeprice,comission,taxes,swap,profit,Balance
1,02/11/2020 10:43:00 PM,,,,,,,,,0,0,0,0,5000
2,02/12/2020 1:19:32 AM,Sell,0.0412,USD/MXN,18.63191,19.256,18,2/12/2020 1:19:32,,0,0,0,-0.26,4999.74
3,02/12/2020 7:55:36 PM,Buy,0.103,USD/ZAR,14.87231,14.7,15,2/12/2020 19:55:36,,0,0,0,0.02,4999.76
4,02/13/2020 7:25:08 AM,Buy,0.013,GBP/USD,1.30371,1.30261,1.30461,2/13/2020 7:25:08,,0,0,0,0,4999.76
5,02/13/2020 7:29:04 AM,Buy,0.0081,USD/MXN,18.6294,18.61953,18.64,2/13/2020 7:29:04,,0,0,0,0,4999.76
6,02/13/2020 7:29:50 AM,Sell,0.0202,USD/MXN,18.6175,18.65,18.55,2/13/2020 7:29:50,,0,0,0,-0.03,4999.73
7,02/13/2020 7:54:13 AM,Sell,0.017,GBP/USD,1.30261,1.35,1.25,2/13/2020 7:54:13,,0,0,0,-0.22,4999.51
8,02/16/2020 4:54:34 PM,Sell,0.0649,USD/MXN,18.53401,18.9,18.3,2/16/2020 16:54:34,,0,0,0,-0.03,4999.48
9,02/16/2020 6:56:21 PM,Buy,0.0173,USD/MXN,18.5514,18.3,18.9,2/16/2020 18:56:21,,0,0,0,0,4999.48
10,02/16/2020 6:57:24 PM,Sell,0.007,NZD/USD,0.64321,0.66321,0.62321,2/16/2020 18:57:24,,0,0,0,0,4999.48
11,02/17/2020 8:07:02 AM,Sell,0.0305,USD/ZAR,15,15.1,14.9,2/17/2020 8:07:02,,0,0,0,1.28,5000.76
12,02/18/2020 2:45:46 AM,Buy,0.0164,USD/MXN,18.63389,18.45,18.88,2/18/2020 2:45:46,,0,0,0,-0.54,5000.22
13,02/18/2020 1:23:29 PM,Buy,0.0477,USD/MXN,18.59075,18.4,18.8,2/18/2020 13:23:29,,0,0,0,0,5000.22
14,02/20/2020 7:12:34 AM,Buy,0.03,EUR/USD,1.07895,0.77895,1.37895,2/20/2020 7:12:34,,0,0,0,-0.42,4999.8
15,02/20/2020 7:18:07 AM,Buy,0.0072,USD/CNH,7.0389,6.9789,7.107,2/20/2020 7:18:07,,0,0,0,0,4999.8
16,02/20/2020 7:39:25 AM,Sell,0.0106,USD/DKK,6.9157,6.94576,6.88576,2/20/2020 7:39:25,,0,0,0,0,4999.8
17,02/20/2020 8:17:44 AM,Sell,0.005,EUR/USD,1.08105,1.09105,1.07105,2/20/2020 8:17:44,,0,0,0,0,4999.8
18,02/20/2020 8:26:23 AM,Sell,0.0098,USD/CNH,7.03594,7.06094,7.01094,2/20/2020 8:26:23,,0,0,0,0,4999.8
19,02/20/2020 8:27:22 AM,Sell,0.0054,USD/JPY,112.106,113.106,110.106,2/20/2020 8:27:22,,0,0,0,0,4999.8
20,02/20/2020 9:36:34 AM,Sell,0.0471,USD/MXN,18.80002,19,18.76,2/20/2020 9:36:34,,0,0,0,5.56,5005.36
21,02/21/2020 1:02:26 AM,Sell,0.0165,USD/MXN,18.90001,20.05,18.85,2/21/2020 1:02:26,,0,0,0,1.76,5007.12
