Ticket,Date,Timezone,Transaction,Details,Instrument,Price,Units,Direction,Spread Cost,Stop Loss,Guaranteed Stop Loss,Take Profit,Trailing Stop,Financing,Commission,GSL Fee,GSL Premium,P/L,Amount,Balance
1,2/6/2020 7:53,CST,CREATE,,,,,,,,,,,,,,,,,
2,2/6/2020 7:53,CST,CLIENT_CONFIGURE,,,,,,,,,,,,,,,,,
3,2/6/2020 7:56,CST,TRANSFER_FUNDS,,,,,,,,,,,,,,,,5000,5000
4,2/11/2020 22:10,CST,MARKET_ORDER,CLIENT_ORDER,USD/MXN,,250,Buy,,18.63217,,18.66217,,,,,,,,
5,2/11/2020 22:10,CST,ORDER_FILL,MARKET_ORDER,USD/MXN,18.64717,250,Buy,0.0407,,,,,0,0,0,,0,,5000
6,2/11/2020 22:10,CST,TAKE_PROFIT_ORDER,ON_FILL,,18.66217,,,,,,,,,,,,,,
7,2/11/2020 22:10,CST,STOP_LOSS_ORDER,ON_FILL,,18.63217,,,,,,,,,,,,,,
8,2/11/2020 22:18,CST,MARKET_ORDER,CLIENT_ORDER,EUR/USD,,100,Sell,,1.11149,,0.94149,,,,,,,,
9,2/11/2020 22:18,CST,ORDER_FILL,MARKET_ORDER,EUR/USD,1.09149,100,Sell,0.007,,,,,0,0,0,,0,,5000
10,2/11/2020 22:18,CST,TAKE_PROFIT_ORDER,ON_FILL,,0.94149,,,,,,,,,,,,,,
11,2/11/2020 22:18,CST,STOP_LOSS_ORDER,ON_FILL,,1.11149,,,,,,,,,,,,,,
12,2/11/2020 22:21,CST,MARKET_ORDER,CLIENT_ORDER,AUD/USD,,200,Buy,,0.67273,,0.67343,,,,,,,,
13,2/11/2020 22:21,CST,ORDER_FILL,MARKET_ORDER,AUD/USD,0.67293,200,Buy,0.011,,,,,0,0,0,,0,,5000
14,2/11/2020 22:21,CST,TAKE_PROFIT_ORDER,ON_FILL,,0.67343,,,,,,,,,,,,,,
15,2/11/2020 22:21,CST,STOP_LOSS_ORDER,ON_FILL,,0.67273,,,,,,,,,,,,,,
16,2/11/2020 22:43,CST,ORDER_FILL,STOP_LOSS_ORDER,AUD/USD,0.6727,200,Sell,0.014,,,,,0,0,0,,-0.046,,4999.95
17,2/11/2020 22:43,CST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,,,
18,2/12/2020 1:19,CST,ORDER_FILL,STOP_LOSS_ORDER,USD/MXN,18.63191,250,Sell,0.0412,,,,,0,0,0,,-0.2048,,4999.74
19,2/12/2020 1:19,CST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,,,
20,2/12/2020 16:00,CST,DAILY_FINANCING,,,,,,,,,,,0.014,,,,,,4999.76
,2/12/2020 16:00,CST,DAILY_FINANCING,TradeID: 9,EUR/USD,,,,,,,,,0.014,,,,,,
21,2/12/2020 19:55,CST,MARKET_ORDER,CLIENT_ORDER,USD/ZAR,,150,Buy,,14.7,,15,,,,,,,,
22,2/12/2020 19:55,CST,ORDER_FILL,MARKET_ORDER,USD/ZAR,14.87231,150,Buy,0.103,,,,,0,0,0,,0,,4999.76
23,2/12/2020 19:55,CST,TAKE_PROFIT_ORDER,ON_FILL,,15,,,,,,,,,,,,,,
24,2/12/2020 19:55,CST,STOP_LOSS_ORDER,ON_FILL,,14.7,,,,,,,,,,,,,,
25,2/13/2020 7:25,CST,MARKET_ORDER,CLIENT_ORDER,GBP/USD,,200,Buy,,1.30261,,1.30461,,,,,,,,
26,2/13/2020 7:25,CST,ORDER_FILL,MARKET_ORDER,GBP/USD,1.30371,200,Buy,0.013,,,,,0,0,0,,0,,4999.76
27,2/13/2020 7:25,CST,TAKE_PROFIT_ORDER,ON_FILL,,1.30461,,,,,,,,,,,,,,
28,2/13/2020 7:25,CST,STOP_LOSS_ORDER,ON_FILL,,1.30261,,,,,,,,,,,,,,
29,2/13/2020 7:29,CST,MARKET_ORDER,CLIENT_ORDER,USD/MXN,,50,Buy,,18.61953,,18.64,,,,,,,,
30,2/13/2020 7:29,CST,ORDER_FILL,MARKET_ORDER,USD/MXN,18.6294,50,Buy,0.0081,,,,,0,0,0,,0,,4999.76
31,2/13/2020 7:29,CST,TAKE_PROFIT_ORDER,ON_FILL,,18.64,,,,,,,,,,,,,,
32,2/13/2020 7:29,CST,STOP_LOSS_ORDER,ON_FILL,,18.61953,,,,,,,,,,,,,,
33,2/13/2020 7:29,CST,ORDER_FILL,STOP_LOSS_ORDER,USD/MXN,18.6175,50,Sell,0.0202,,,,,0,0,0,,-0.032,,4999.73
34,2/13/2020 7:29,CST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,,,
35,2/13/2020 7:54,CST,ORDER_FILL,STOP_LOSS_ORDER,GBP/USD,1.30261,200,Sell,0.017,,,,,0,0,0,,-0.22,,4999.51
36,2/13/2020 7:54,CST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,,,
37,2/13/2020 16:00,CST,DAILY_FINANCING,,,,,,,,,,,0,,,,,,4999.51
,2/13/2020 16:00,CST,DAILY_FINANCING,TradeID: 9,EUR/USD,,,,,,,,,0,,,,,,
,2/13/2020 16:00,CST,DAILY_FINANCING,TradeID: 22,USD/ZAR,,,,,,,,,0,,,,,,
38,2/14/2020 16:00,CST,DAILY_FINANCING,,,,,,,,,,,-0.0267,,,,,,4999.48
,2/14/2020 16:00,CST,DAILY_FINANCING,TradeID: 9,EUR/USD,,,,,,,,,0.0035,,,,,,
,2/14/2020 16:00,CST,DAILY_FINANCING,TradeID: 22,USD/ZAR,,,,,,,,,-0.0302,,,,,,
39,2/14/2020 20:53,CST,LIMIT_ORDER,CLIENT_ORDER,USD/MXN,18.53379,100,Sell,,18.63379,,18.43379,,,,,,,,
40,2/15/2020 16:00,CST,DAILY_FINANCING,,,,,,,,,,,0,,,,,,4999.48
,2/15/2020 16:00,CST,DAILY_FINANCING,TradeID: 9,EUR/USD,,,,,,,,,0,,,,,,
,2/15/2020 16:00,CST,DAILY_FINANCING,TradeID: 22,USD/ZAR,,,,,,,,,0,,,,,,
41,2/16/2020 16:00,CST,DAILY_FINANCING,,,,,,,,,,,0,,,,,,4999.48
,2/16/2020 16:00,CST,DAILY_FINANCING,TradeID: 9,EUR/USD,,,,,,,,,0,,,,,,
,2/16/2020 16:00,CST,DAILY_FINANCING,TradeID: 22,USD/ZAR,,,,,,,,,0,,,,,,
42,2/16/2020 16:54,CST,ORDER_FILL,LIMIT_ORDER,USD/MXN,18.53401,100,Sell,0.0649,,,,,0,0,0,,0,,4999.48
43,2/16/2020 16:54,CST,TAKE_PROFIT_ORDER,ON_FILL,,18.43379,,,,,,,,,,,,,,
44,2/16/2020 16:54,CST,STOP_LOSS_ORDER,ON_FILL,,18.63379,,,,,,,,,,,,,,
45,2/16/2020 18:56,CST,MARKET_ORDER,CLIENT_ORDER,USD/MXN,,100,Buy,,18.3,,18.9,,,,,,,,
46,2/16/2020 18:56,CST,ORDER_FILL,MARKET_ORDER,USD/MXN,18.5514,100,Buy,0.0173,,,,,0,0,0,,0,,4999.48
47,2/16/2020 18:56,CST,TAKE_PROFIT_ORDER,ON_FILL,,18.9,,,,,,,,,,,,,,
48,2/16/2020 18:56,CST,STOP_LOSS_ORDER,ON_FILL,,18.3,,,,,,,,,,,,,,
49,2/16/2020 18:57,CST,MARKET_ORDER,CLIENT_ORDER,NZD/USD,,100,Sell,,0.66321,,0.62321,,,,,,,,
50,2/16/2020 18:57,CST,ORDER_FILL,MARKET_ORDER,NZD/USD,0.64321,100,Sell,0.007,,,,,0,0,0,,0,,4999.48
51,2/16/2020 18:57,CST,TAKE_PROFIT_ORDER,ON_FILL,,0.62321,,,,,,,,,,,,,,
52,2/16/2020 18:57,CST,STOP_LOSS_ORDER,ON_FILL,,0.66321,,,,,,,,,,,,,,
53,2/17/2020 8:07,CST,ORDER_FILL,TAKE_PROFIT_ORDER,USD/ZAR,15,150,Sell,0.0305,,,,,0,0,0,,1.2764,,5000.76
54,2/17/2020 8:07,CST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,,,
55,2/17/2020 16:00,CST,DAILY_FINANCING,,,,,,,,,,,-0.0041,,,,,,5000.75
,2/17/2020 16:00,CST,DAILY_FINANCING,TradeID: 9,EUR/USD,,,,,,,,,0.0034,,,,,,
,2/17/2020 16:00,CST,DAILY_FINANCING,TradeID: 46,USD/MXN,,,,,,,,,-0.0174,,,,,,
,2/17/2020 16:00,CST,DAILY_FINANCING,TradeID: 42,USD/MXN,,,,,,,,,0.0112,,,,,,
,2/17/2020 16:00,CST,DAILY_FINANCING,TradeID: 50,NZD/USD,,,,,,,,,-0.0013,,,,,,
56,2/18/2020 2:45,CST,ORDER_FILL,STOP_LOSS_ORDER,USD/MXN,18.63389,100,Buy,0.0164,,,,,0,0,0,,-0.5362,,5000.22
57,2/18/2020 2:45,CST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,,,
58,2/18/2020 13:23,CST,MARKET_ORDER,CLIENT_ORDER,USD/MXN,,500,Buy,,18.4,,18.8,,,,,,,,
59,2/18/2020 13:23,CST,ORDER_FILL,MARKET_ORDER,USD/MXN,18.59075,500,Buy,0.0477,,,,,0,0,0,,0,,5000.22
60,2/18/2020 13:23,CST,TAKE_PROFIT_ORDER,ON_FILL,,18.8,,,,,,,,,,,,,,
61,2/18/2020 13:23,CST,STOP_LOSS_ORDER,ON_FILL,,18.4,,,,,,,,,,,,,,
62,2/18/2020 16:00,CST,DAILY_FINANCING,,,,,,,,,,,-0.1052,,,,,,5000.11
,2/18/2020 16:00,CST,DAILY_FINANCING,TradeID: 9,EUR/USD,,,,,,,,,0.0035,,,,,,
,2/18/2020 16:00,CST,DAILY_FINANCING,TradeID: 46,USD/MXN,,,,,,,,,-0.0179,,,,,,
,2/18/2020 16:00,CST,DAILY_FINANCING,TradeID: 59,USD/MXN,,,,,,,,,-0.0896,,,,,,
,2/18/2020 16:00,CST,DAILY_FINANCING,TradeID: 50,NZD/USD,,,,,,,,,-0.0012,,,,,,
63,2/19/2020 16:00,CST,DAILY_FINANCING,,,,,,,,,,,-0.3114,,,,,,4999.8
,2/19/2020 16:00,CST,DAILY_FINANCING,TradeID: 9,EUR/USD,,,,,,,,,0.0109,,,,,,
,2/19/2020 16:00,CST,DAILY_FINANCING,TradeID: 46,USD/MXN,,,,,,,,,-0.0531,,,,,,
,2/19/2020 16:00,CST,DAILY_FINANCING,TradeID: 59,USD/MXN,,,,,,,,,-0.2655,,,,,,
,2/19/2020 16:00,CST,DAILY_FINANCING,TradeID: 50,NZD/USD,,,,,,,,,-0.0037,,,,,,
64,2/20/2020 7:12,CST,MARKET_ORDER,CLIENT_ORDER,EUR/USD,,500,Buy,,0.77895,,1.37895,,,,,,,,
65,2/20/2020 7:12,CST,ORDER_FILL,MARKET_ORDER,EUR/USD,1.07895,500,Buy,0.03,,,,,0,0,0,,0,,4999.8
66,2/20/2020 7:12,CST,TAKE_PROFIT_ORDER,ON_FILL,,1.37895,,,,,,,,,,,,,,
67,2/20/2020 7:12,CST,STOP_LOSS_ORDER,ON_FILL,,0.77895,,,,,,,,,,,,,,
68,2/20/2020 7:18,CST,MARKET_ORDER,CLIENT_ORDER,USD/CNH,,100,Buy,,6.9789,,7.107,,,,,,,,
