order,opentime,type,size,symbol,openprice,s/l,t/p,closetime,closeprice,comission,taxes,swap,profit,Balance
1,"Wednesday, February 12, 2020",sell,0.0412,usdmxn,18.63191,19.256,18,"Wednesday, February 12, 2020",20.124,0,0,0,-0.26,4999.74
2,"Wednesday, February 12, 2020",buy,0.103,usdzar,14.87231,14.7,15,"Wednesday, February 12, 2020",15.1575,0,0,0,0.02,4999.76
3,"Thursday, February 13, 2020",buy,0.013,gbpusd,1.30371,1.30261,1.30461,"Thursday, February 13, 2020",1.304,0,0,0,0,4999.76
4,"Thursday, February 13, 2020",buy,0.0081,usdmxn,18.6294,18.61953,18.64,"Thursday, February 13, 2020",18.635,0,0,0,0,4999.76
5,"Thursday, February 13, 2020",sell,0.0202,usdmxn,18.6175,18.65,18.55,"Thursday, February 13, 2020",8.0781,0,0,0,-0.03,4999.73
6,"Thursday, February 13, 2020",sell,0.017,gbpusd,1.30261,1.35,1.25,"Thursday, February 13, 2020",1.0075,0,0,0,-0.22,4999.51
7,"Sunday, February 16, 2020",sell,0.0649,usdmxn,18.53401,18.9,18.3,"Sunday, February 16, 2020",8.0792,0,0,0,-0.03,4999.48
8,"Sunday, February 16, 2020",buy,0.0173,usdmxn,18.5514,18.3,18.9,"Sunday, February 16, 2020",18.691,0,0,0,0,4999.48
9,"Sunday, February 16, 2020",sell,0.007,nzdusd,0.64321,0.66321,0.62321,"Sunday, February 16, 2020",0.64,0,0,0,0,4999.48
10,"Monday, February 17, 2020",sell,0.0305,usdzar,15,15.1,14.9,"Monday, February 17, 2020",14.977,0,0,0,1.28,5000.76
11,"Tuesday, February 18, 2020",buy,0.0164,usdmxn,18.63389,18.45,18.88,"Tuesday, February 18, 2020",18.177,0,0,0,-0.54,5000.22
12,"Tuesday, February 18, 2020",buy,0.0477,usdmxn,18.59075,18.4,18.8,"Tuesday, February 18, 2020",18.511,0,0,0,0,5000.22
13,"Thursday, February 20, 2020",buy,0.03,eurusd,1.07895,0.77895,1.37895,"Thursday, February 20, 2020",0.7103,0,0,0,-0.42,4999.8
14,"Thursday, February 20, 2020",buy,0.0072,usdcnh,7.0389,6.9789,7.107,"Thursday, February 20, 2020",7.099,0,0,0,0,4999.8
15,"Thursday, February 20, 2020",sell,0.0106,usddkk,6.9157,6.94576,6.88576,"Thursday, February 20, 2020",6.888,0,0,0,0,4999.8
16,"Thursday, February 20, 2020",sell,0.005,eurusd,1.08105,1.09105,1.07105,"Thursday, February 20, 2020",1.089,0,0,0,0,4999.8
17,"Thursday, February 20, 2020",sell,0.0098,usdcnh,7.03594,7.06094,7.01094,"Thursday, February 20, 2020",7.048,0,0,0,0,4999.8
18,"Thursday, February 20, 2020",sell,0.0054,usdjpy,112.106,113.106,110.106,"Thursday, February 20, 2020",110.845,0,0,0,0,4999.8
19,"Thursday, February 20, 2020",sell,0.0471,usdmxn,18.80002,19,18.76,"Thursday, February 20, 2020",18.806,0,0,0,5.56,5005.36
20,"Friday, February 21, 2020",sell,0.0165,usdmxn,18.90001,20.05,18.85,"Friday, February 21, 2020",19.499,0,0,0,1.76,5007.12
21,"Friday, February 21, 2020",buy,0.0108,usddkk,6.88574,6.8,6.96,"Friday, February 21, 2020",7.0766,0,0,0,0.43,5007.55
22,"Friday, February 21, 2020",sell,0.0001,usdmxn,18.85935,19.2,18.55,"Friday, February 21, 2020",18.553,0,0,0,0,5007.55
23,"Friday, February 21, 2020",sell,0.6568,usdmxn,18.8625,19.05,18.55,"Friday, February 21, 2020",18.844,0,0,0,0,5007.55
24,"Sunday, February 23, 2020",sell,0.1924,usdcnh,7.04871,7.14868,6.94868,"Sunday, February 23, 2020",1.0075,0,0,0,0.74,5008.29
25,"Sunday, February 23, 2020",buy,1.3929,usdmxn,19.05006,19,20.25,"Sunday, February 23, 2020",19.001,0,0,0,-68.94,4939.35
26,"Monday, February 24, 2020",buy,0.0001,usdmxn,19.20001,19.11,20.45,"Monday, February 24, 2020",19.0824,0,0,0,-0.02,4939.33
27,"Tuesday, February 25, 2020",buy,0.0073,usdjpy,110.106,100,121,"Tuesday, February 25, 2020",124.331,0,0,0,1.75,4941.08
28,"Wednesday, February 26, 2020",buy,0.009,eurusd,1.09106,1.05,1.14,"Wednesday, February 26, 2020",1.0104,0,0,0,-1.2,4939.88
29,"Thursday, February 27, 2020",buy,0.0076,usdcnh,7.01091,6.95,7.1,"Thursday, February 27, 2020",8.0781,0,0,0,0.35,4940.23
30,"Friday, February 28, 2020",buy,0.0085,nzdusd,0.6232,0.59,0.678,"Friday, February 28, 2020",0.7058,0,0,0,1.93,4942.16
31,"Friday, February 28, 2020",sell,0.0251,usdcnh,6.97878,7.09,6.8,"Friday, February 28, 2020",7.363,0,0,0,-0.86,4941.3
32,"Monday, March 02, 2020",buy,0.007,eurusd,1.11149,1.03,1.19,"Monday, March 02, 2020",1.0559,0,0,0,-2.06,4939.24
33,"Tuesday, March 03, 2020",buy,0.098,usdcnh,6.94866,6.87,7.2,"Tuesday, March 03, 2020",7.2792,0,0,0,17.9,4957.14
34,"Thursday, March 05, 2020",buy,0.0139,usdmxn,19.7833,19.04,20.05,"Thursday, March 05, 2020",18.9941,0,0,0,-0.18,4956.96
35,"Thursday, March 05, 2020",buy,0.0248,usdczk,22.68593,19,26,"Thursday, March 05, 2020",22.565,0,0,0,0,4956.96
36,"Thursday, March 05, 2020",buy,0.0975,eurusd,1.11822,1,1.3,"Thursday, March 05, 2020",1.176,0,0,0,0,4956.96
37,"Thursday, March 05, 2020",sell,0.1125,gbpusd,1.29156,1.4,1.2,"Thursday, March 05, 2020",1.395,0,0,0,0,4956.96
38,"Thursday, March 05, 2020",buy,0.1837,usdchf,0.95253,0.91,0.958,"Thursday, March 05, 2020",0.921,0,0,0,0,4956.96
39,"Thursday, March 05, 2020",sell,0.0312,usdmxn,20.05051,21.12,19.94,"Thursday, March 05, 2020",20.159,0,0,0,1.17,4958.13
40,"Tuesday, March 17, 2020",sell,0.2609,usdchf,0.95802,1,0.9,"Tuesday, March 17, 2020",0.999,0,0,0,12.89,4971.02
41,"Wednesday, March 18, 2020",buy,0.2025,gbpusd,1.2,1.1,1.3,"Wednesday, March 18, 2020",1.4143,0,0,0,136.74,5107.76
42,"Thursday, March 19, 2020",sell,0.1806,usdczk,26.00043,27.4,25.6,"Thursday, March 19, 2020",26.034,0,0,0,17.67,5125.43
